SIGNATUR,KOMPONIST,EINORDNUNGSTITEL,300$a,590$b,RISM-ID,INDEX
Mus.2103,"Graun, Carl Heinrich","Kommt her und schaut - Excerpts; Coro, strings, ob (3); GruG 41/10",11 parts,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",240001829,01
Mus.2104,"Graun, Carl Heinrich","Kommt her und schaut - Excerpts; V (2), orch, bc; GraunWV B:VII:5/25",10 parts,"2, 1, 1, 1, 1, 1, 2, 1, 1, 1f.",240001830,01
Mus.2099/1b,"Graun, Carl Heinrich","Der Tod Jesu - V (4), Coro, orch; GruG 42",score: 96f.,"",240001831,01
"","","",26 parts,"","",02
"Mus.152a, b","Graun, Carl Heinrich","Rodelinda regina de' Langobardi - Excerpts; S, strings, bc",6 parts,"2, 2, 2, 2, 2, 2f.",240001832,01
Mus.2127,"Graun, Carl Heinrich","Rodelinda regina de' Langobardi - Excerpts; S, strings, cemb",5 parts,"2, 2, 2, 2, 2f.",240001833,01
Mus.2131,"Graun, Carl Heinrich","Rodelinda regina de' Langobardi - Excerpts; Coro, orch, bc",12 parts,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1f.",240001834,01
Mus.4147,"Graun, Carl Heinrich","Semiramide - Excerpts; S, strings, cemb",score: 4f.,"",240001835,01
"","","",5 parts,"4, 2, 2, 2, 2f.","",02
Mus.128,"Graun, Carl Heinrich","Semiramide - Excerpts; S, strings, bc",5 parts,"4, 2, 2, 2, 2f.",240001836,01
Mus.2101,"Graun, Carl Heinrich","Te Deum - V (4), Coro, orch; GruG 74",score: 193p.,"",240001837,01
"","","",40 parts,"8, 4, 4, 8, 4, 6, 2, 4, 4, 4, 4, 4, 6, 4, 2, 2, 2, 2, 8, 7, 8, 7, 6, 10, 6, 4, 5, 5, 6, 6, 3, 2, 1, 1, 1, 2, 2, 2, 2, 2","",02
Nr.9 in Mus.4758J Bd.1,"Graun, Carl Heinrich","Te Deum - Excerpts; V (4), Coro, orch; GruG 74",score: 24f.,"",240001838,01
Mus.2154/1,"Graun, Carl Heinrich","Sonatas - fl (2), bc; WenG 51",3 parts,"2, 2, 2f.",240001839,01
Mus.2171,"Grave, Johann Hieronymus","Concertos - vl, strings, bc",5 parts,"2, 1, 1, 1, 2f.",240001840,01
Mus.2174,"Grenser, Johann Friedrich",Symphonies,10 parts,"3, 3, 2, 2, 2, 2, 2, 2, 2, 2f.",240001841,01
Mus.2176,"Grenser, Johann Friedrich",Symphonies,9 parts,"4, 4, 4, 4, 2, 2, 2, 2, 4f.",240001842,01
Mus.2175,"Grenser, Johann Friedrich",Symphonies,9 parts,"2, 2, 2, 2, 1, 1, 1, 1, 2f.",240001843,01
Mus.2203/3,"Grétry, André-Ernest-Modeste",Raoul Barbe-bleue,score: 218f.,"",240001844,01
Mus.2194,"Grétry, André-Ernest-Modeste",Les Deux Avares - Excerpts; orch,9 parts,"2, 2, 2, 2, 2, 2, 2, 2, 2f.",240001845,01
Mus.2189,"Grétry, André-Ernest-Modeste",L'Embarras des richesses,17 parts,"18, 2, 16, 16, 12, 13, 13, 6, 6, 6, 6, 3, 4, 4, 2, 2, 2f.",240001846,01
Mus.2196,"Martini, Johann Paul Aegidius",Henri IV - Excerpts; orch,20 parts,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3f.",240001847,01
Mus.2203,"Grétry, André-Ernest-Modeste",Le Huron - Excerpts; Arr; pf,short score: 3f.,"",240001848,01
Mus.2193,"Grétry, André-Ernest-Modeste",Richard Cœur-de-Lion,score: 148f.,"",240001849,01
"","","",28 parts,"31, 21, 14, 26, 24, 22, 30, 13, 11, 22, 22, 22, 2, 22, 22, 20, 20, 5, 3, 13, 12, 15, 15, 8, 9, 4, 4, 4f.","",02
Mus.2193d,"Grétry, André-Ernest-Modeste","Richard Cœur-de-Lion - Excerpts; Arr; S, pf","2 short scores: 4, 4f.","",240001850,01
Mus.2193b,"Grétry, André-Ernest-Modeste","Richard Cœur-de-Lion - Excerpts; Arr; V (2), pf",short score: 4f.,"",240001851,01
Mus.2193c,"Grétry, André-Ernest-Modeste","Richard Cœur-de-Lion - Excerpts; V (2), Coro, orch",29 parts,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1f.",240001852,01
Mus.2179,"Grétry, André-Ernest-Modeste",Le Tableau parlant,short score (prompter): 40f.,"",240001853,01
"","","",18 parts,"14, 5, 18, 18, 15, 15, 13, 11, 13, 15, 4, 4, 9, 8, 6, 6, 6, 6f.","",02
Mus.2203/4,"Grétry, André-Ernest-Modeste",La Fausse magie,score: 80f.,"",240001854,01
"","","",23 parts,"16, 21, 8, 8, 17, 24, 16, 8, 28, 27, 27, 24, 16, 17, 8, 8, 4, 3, 14, 14, 15, 8, 8f.","",02
Mus.2180,"Grétry, André-Ernest-Modeste",Zémire et Azor,"score (4vol.): 93, 67, 85, 71f.","",240001855,01
Mus.2183,"Grétry, André-Ernest-Modeste",Zémire et Azor - Excerpts; Arr; pf,short score: 6f.,"",240001856,01
Mus.2180/1,"Grétry, André-Ernest-Modeste","Zémire et Azor - Excerpts; S, strings, bc",6 parts,"3, 2, 2, 2, 2, 2f.",240001857,01
Mus.2182,"Grétry, André-Ernest-Modeste","Zémire et Azor - Excerpts; S, strings, fl (2)",8 parts,"2, 1, 1, 1, 1, 1, 1, 1f.",240001858,01
Mus.2181,"Grétry, André-Ernest-Modeste","Zémire et Azor - Excerpts; S (3), strings, winds",12 parts,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1f.",240001859,01
Mus.2184,"Grétry, André-Ernest-Modeste",Zémire et Azor - Excerpts; orch,9 parts,"2, 2, 2, 2, 2, 2, 1, 2, 2f.",240001860,01
Mus.2212,"Griessbacher, Reimund",?Partitas? - winds; WeiH deest,6 parts,"4, 4, 4, 4, 3, 3f.",240001861,01
Mus.267,"Griner, Joseph",Symphonies,13 parts,"3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 2f.",240001862,01
Mus.2218,"Pausch, Eugen","Masses - V (4), Coro, orch; op. 4, 4",28 parts,"13, 12, 11, 10, 5, 5, 12, 10, 10, 4, 10, 12, 5, 12, 11, 5, 6, 6, 6, 5, 5, 4, 4, 2, 2, 1, 1, 1f.",240001863,01
Mus.2221,"Grünberger, Theodor","Concertos - vl, strings, cemb",6 parts,"2, 2, 2, 2, 2, 2f.",240001864,01
Mus.2220,Collection,6 Sacred songs - cemb,1 part,6f.,240001865,01
Mus.2227,"Guagliattini, Giacinto","Overtures - orch, bc",8 parts,"2, 2, 1, 1, 1, 1, 1, 1f.",240001872,01
Mus.2239,"Guglielmi, Pietro Alessandro","Diana amante - Excerpts; S, orch",11 parts,"2, 4, 2, 2, 2, 2, 2,, 2, 2, 1, 1f.",240001873,01
Mus.2240,"Guglielmi, Pietro Alessandro","Cara addio benché lontana - S, orch, bc",9 parts,"4, 2, 2, 2, 2, 1, 1, 1, 1f.",240001874,01
Mus.2234,"Guglielmi, Pietro Alessandro",Debora e Sisara,"score (2vol.): 132, 126f.","",240001875,01
Mus.118,"Guglielmi, Pietro Alessandro","Debora e Sisara - Excerpts; S, orch, arp",score: 20f.,"",240001876,01
"","","",10 parts,"4, 2, 2, 1, 2, 4, 1, 1, 1, 1f.","",02
Mus.2235,"Guglielmi, Pietro Alessandro",Diana amante,"score (2vol.): 128, 122f.","",240001877,01
Mus.2236,"Guglielmi, Pietro Alessandro","Diana amante - Excerpts; orch, bc",13 parts,"2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1f.",240001878,01
Mus.2241,"Guglielmi, Pietro Alessandro","La lanterna di Diogene - Excerpts; Arr; V (2), guit",score: 4f.,"",240001879,01
Mus.2243,"Guglielmi, Pietro Alessandro","La lanterna di Diogene - Excerpts; Arr; V, guit",1 part,2f.,240001880,01
Mus.2242,"Martín y Soler, Vicente","La scuola dei maritati - Excerpts; Arr; S, guit",1 part,2f.,240001881,01
Mus.2237,"Guglielmi, Pietro Alessandro",La pastorella nobile,"score (2vol.): 172, 135f.","",240001882,01
Mus.2238,"Guglielmi, Pietro Alessandro","La pastorella nobile - Excerpts; T, orch",score: 14f.,"",240001883,01
"","","",9 parts,"2, 2, 1, 1, 1, 1, 1, 1, 1f.","",02
Mus.2233,"Guglielmi, Pietro Alessandro",La bella pescatrice,"score (2vol.): 224, 177f.","",240001884,01
Mus.2244,"Guglielmi, Pietro Alessandro","Vologeso? - Excerpts; S, orch",score: 12f.,"",240001885,01
Mus.2246,"Guglielmi, Pietro Alessandro",Overtures - orch,9 parts,"2, 2, 1, 1, 1, 1, 1, 1, 1f.",240001886,01
Mus.2245,"Guglielmi, Pietro Alessandro",Overtures - orch,9 parts,"2, 2, 2, 2, 1, 1, 1, 1, 1f.",240001887,01
Mus.2250,"Guglielmi, Pietro Carlo","L'equivoco fra gli sposi - Excerpts; V (2), orch",score: 22f.,"",240001888,01
Mus.2249,"Guglielmi, Pietro Carlo","La guerra aperta - Excerpts; V (3), orch",score: 32f.,"",240001889,01
"","","",14 parts,"5, 5, 5, 4, 4, 3, 1, 1, 1, 1, 2, 2, 1, 1f.","",02
Mus.2259/1,"Gürrlich, Joseph Augustin",Marches - pf,1 part,1f.,240001890,01
Mus.2254,Gultzau,Symphonies,4 parts,"",240001891,01
Mus.519,H. B.,"Sonatas - fag, b",score: 4f.,"",240001892,01
Mus.2303b,"Händel, Georg Friedrich","Alexander's Feast - V (4), Coro, orch; HWV 75",score: 112f.,"",240001893,01
Mus.2434,"Händel, Georg Friedrich","Berenice regina d'Egitto - Excerpts; vl (2), vla, b; HWV 38",4 parts,"1, 1, 1, 1f.",240001894,01
Mus.2436,"Woodcock, Robert","Concertos - ob, strings, cemb; HWV Anh. B 316",5 parts,"1, 1, 1, 1, 2f.",240001895,01
Mus.2431,"Händel, Georg Friedrich","Esther - Excerpts; strings, ob, cemb; HWV 50a",4 parts,"1, 1, 2, 1f.",240001896,01
Mus.2407,Collection,195 Apollo's feast - Excerpts,4 parts,"99, 23, 18, 101f.",240001897,01
Mus.182,Collection,53 Apollo's feast - Excerpts,6 parts,"28, 16, 13, 29, 1, 2f.",240001898,01
Mus.184,Collection,4 Operas - Excerpts,8 parts,"18, 6, 6, 17, 1, 1, 1, 1f.",240001899,01
Mus.2440,Collection,2 Fugues - Excerpts; cemb,1 part,4f.,240001900,01
Mus.2440,"Händel, Georg Friedrich",Suites - Excerpts; cemb; HWV 431/3,1 part,2f.,240001901,01
Mus.2438,"Händel, Georg Friedrich",Marches - orch; HWV 62/B,6 parts,"1, 1, 1, 1, 1, 1f.",240001902,01
Mus.2411,"Händel, Georg Friedrich",Messiah - HWV 56,1 score: 170 f.,"",240001903,01
"","","",48 parts,"18, 21, 12, 13, 17, 9, 15, 18, 9, 18, 7, 14, 19, 7, 13, 18,, 17, 12, 8, 19, 14, 6, 16, 13, 16, 15, 8, 16, 13, 8, 5, 1, 1, 1, 2, 2, 1, 1, 1, 1f.","",02
Mus.2425,"Händel, Georg Friedrich","The ways of Zion do mourn - Excerpts; Coro, strings, woodwinds; HWV 264",score: 65f.,"",240001904,01
"","","",18 parts,"16, 14, 15, 15, 15, 16, 16, 15, 15, 8, 8, 7, 8, 7, 7, 5, 6, 1f.","",02
Mus.2410,"Händel, Georg Friedrich","Rodelinda regina de' Longobardi - Excerpts; V (6), orch; HWV 19/1-5",score: 58f.,"",240001905,01
Mus.2432,"Händel, Georg Friedrich","Ottone re di Germania - Excerpts; strings, woodwinds, cemb; HWV 15",8 parts,"2, 2, 2, 2, 2, 2, 2, 2f.",240001906,01
Mus.2433,Collection,2 Oratorios - Excerpts,9 parts,"2, 2, 2, 2, 2, 2, 2, 2, 2f.",240001907,01
Mus.2430,Collection,5 Pieces,14 parts,"4, 4, 4, 4, 7, 4, 4, 1, 1, 1, 1, 1, 1, 1f.",240001908,01
Mus.2430,"Händel, Georg Friedrich","Saul - Excerpts; V (4), Coro, orch; HWV 53/1-5",19 parts,"6, 5, 6, 6, 6, 6, 6, 6, 5, 3, 3, 3, 3, 3, 2, 2, 1, 1, 1f.",240001909,01
Mus.2430,"Händel, Georg Friedrich",Saul - Excerpts; HWV 53/77b,score: 2f.,"",240001910,01
"","","",9 parts,"1, 1, 1, 1, 1, 1, 1, 1, 1f.","",02
Mus.2441,"Händel, Georg Friedrich","Sonatas - Arr; fl, b; HWV 364a",2 parts,"2, 2f.",240001911,01
Mus.2467/42,Collection,16 Keyboard pieces - pf,1 part,24f.,240001912,01
Mus.2276,"Hager, Ignaz","Duets - vl, b",score: 4f.,"",240001929,01
Mus.2278,"Hahn, Georg Joachim Joseph","Sonatas - vl, pf",2 parts,"10, 4f.",240001930,01
Mus.2285/4,"Lidl, Andreas","Sonatas - vla da gamba, vlc",score: 4f.,"",240001931,01
Mus.2285/3,"Hammer, Franz Xaver","Sonatas - vla da gamba, b",3 parts,"2, 2, 2f.",240001932,01
Mus.2285/2,"Lidl, Andreas","Sonatas - vla da gamba, vlc; VdGS HAMMER-1, no.2",score: 4f.,"",240001933,01
Mus.2285/1,"Hammer, Franz Xaver","Sonatas - vla da gamba, b; VdGS HAMMER-1, no.1",score: 8f.,"",240001934,01
Mus.2285/5,"Hammer, Franz Xaver","Sonatas - vla da gamba, vlc",score: 4f.,"",240001935,01
Mus.2514,"Harrer, Gottlob","Partitas - strings, bc; HarWV 25",4 parts,"2, 2, 2, 2f.",240001936,01
Mus.2456,"Hartmann, Christian Karl",Simphonie du globe aërostatique - orch,8 parts,"3, 3, 3, 3, 4, 2, 2, 2f.",240001937,01
Mus.2458,"Hartmann, Christian Karl","Symphonies - strings, ob (2), cor (2)",8 parts,"4, 4, 4, 4, 2, 2, 1, 1f.",240001938,01
Mus.2461,"Hartwig, Carl","Concertos - fl, strings, bc; GroF 1759",5 parts,"2, 2, 2, 2, 2f.",240001939,01
Mus.2478a/b,"Hasse, Johann Adolf","Scintilla e Don Tabarano - V (2), strings","score (2vol.): 32, 30f.","",240001940,01
"","","",3 parts,"9, 6, 4f.","",02
Mus.2506,"Hasse, Johann Adolf",Alcide al bivio - Excerpts; Arr; pf,short score (piano score): 4f.,"",240001941,01
Mus.2474,"Hasse, Johann Adolf",Antigono - Excerpts,13 parts,"26, 1, 27, 27, 27, 27, 27, 4, 4, 6, 4, 4, 4f.",240001942,01
Mus.2497,"Hasse, Johann Adolf","Antigono - Excerpts; V (2), strings, ob (2)",score: 10f.,"",240001943,01
Mus.2480,"Hasse, Johann Adolf","Senocrita - Excerpts; Arr; S, strings, cemb",5 parts,"2, 2, 2, 2, 2f.",240001944,01
Mus.2483,"Hasse, Johann Adolf","Die Farbe macht die Königin - Excerpts; S, vl, b",3 parts,"1, 1, 2f.",240001945,01
Mus.2487,"Hasse, Johann Adolf","Non mirarmi ingrato core - S, strings",5 parts,"2, 2, 2, 2, 2f.",240001946,01
Mus.144,"Hasse, Johann Adolf","Cleofide - Excerpts; S, orch, bc",score: 9f.,"",240001947,01
Mus.2507,"Hasse, Johann Adolf","Arminio - Excerpts; strings, brasses",6 parts,"2, 2, 1, 2, 1, 1f.",240001948,01
Mus.2471,"Hasse, Johann Adolf","Artaserse - Excerpts; V (3), orch, cemb",16 parts,"13, 25, 25, 19, 18, 22, 1, 1, 1, 1, 18, 4, 4, 4, 4, 4f.",240001949,01
Mus.2490,"Hasse, Johann Adolf","Artaserse - Excerpts; V (X), strings, cemb",5 parts,"8, 8, 8, 8, 8f.",240001950,01
Mus.2491m,"Hasse, Johann Adolf","Artaserse - Excerpts; A, strings, ob",5 parts,"1, 1, 1, 1, 1f.",240001951,01
Mus.2500,"Hasse, Johann Adolf","Asteria - Excerpts; strings, cor (2), bc",7 parts,"2, 2, 2, 2, 1, 1, 2f.",240001952,01
Mus.140,"Hasse, Johann Adolf","Attilio Regolo - Excerpts; S, strings, cemb",6 parts,"1, 2, 2, 2, 2, 2f.",240001953,01
Mus.2494,"Hasse, Johann Adolf","Cajo Fabricio - Excerpts; S, orch",9 parts,"2, 2, 2, 2, 2, 1, 1, 1, 1f.",240001954,01
Mus.2120,"Graun, Carl Heinrich","Catone in Utica - Excerpts; S, orch",13 parts,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1f.",240001955,01
Mus.2114,"Graun, Carl Heinrich","Catone in Utica - Excerpts; S, strings, bc",5 parts,"2, 2, 2, 2, 2f.",240001956,01
Mus.2472,"Hasse, Johann Adolf",Tito Vespasiano - Excerpts,16 parts,"17, 15, 15, 15, 15, 15, 2, 2, 1, 1, 1, 1, 1, 14, 1, 1, 1f.",240001957,01
Mus.2481,"Hasse, Johann Adolf","Tito Vespasiano - Excerpts; S, vl, b",3 parts,"1, 1, 2f.",240001958,01
Mus.2513,"Hasse, Johann Adolf","Concertos - fl, strings; GroF 780",5 parts,"2, 3, 3, 2, 2f.",240001959,01
Mus.2512,"Hasse, Johann Adolf","Concertos - fl (2), vl (2), bc; GroF 267",5 parts,"2, 2, 2, 2, 3f.",240001960,01
Mus.2510,"Hasse, Johann Adolf","Concertos - fl, strings; GroF 234",4 parts,"2, 2, 2, 2f.",240001961,01
Mus.2509,"Hasse, Johann Adolf","Concertos - fl, strings, bc; GroF 1711",4 parts,"2, 2, 2, 2f.",240001962,01
Mus.2511,"Hasse, Johann Adolf","Concertos - fl, vl (2), bc; GroF 1712",4 parts,"2, 2, 2, 1f.",240001963,01
Mus.2491d,"Hasse, Johann Adolf","Demetrio - Excerpts; V, strings, bc",5 parts,"1, 1, 1, 1, 1f.",240001964,01
Mus.2491g,"Hasse, Johann Adolf","Demetrio - Excerpts; V, strings, cemb",5 parts,"1, 2, 2, 1, 2f.",240001965,01
Mus.5872/8,"Graun, Carl Heinrich",Ein Lämmlein geht und trägt die Schuld - GruG 40,3 parts,"24, 16, 16f.",240001966,01
Mus.2203/5,"E...ch, Carl","Andantino grazioso - strings, woodwinds",7 parts,"1, 1, 1, 1, 1, 1, 1f.",240001972,01
Mus.2491k,"Hasse, Johann Adolf","Demetrio - Excerpts; V, strings",5 parts,"1, 2, 2, 1, 1f.",240002160,01
Mus.2491a,Collection,"2 Operas - Excerpts; V, strings, ob",5 parts,"2, 2, 2, 2, 1f.",240002161,01
Mus.2491b,"Hasse, Johann Adolf","Demetrio - Excerpts; V, strings, ob",5 parts,"2, 2, 1, 1, 1f.",240002164,01
Mus.2491c,"Hasse, Johann Adolf","Demetrio - Excerpts; V, strings, bc",5 parts,"1, 1, 1, 1, 1f.",240002165,01
Mus.2491i,"Hasse, Johann Adolf","Demetrio - Excerpts; V, strings, ob",5 parts,"1, 1, 1, 1, 1f.",240002166,01
Mus.2491l,"Hasse, Johann Adolf","Demetrio - Excerpts; V, strings, cemb",5 parts,"1, 1, 1, 1, 1f.",240002167,01
Mus.2491e,Collection,"2 Operas - Excerpts; V, orch, bc",6 parts,"1, 1, 1, 1, 1, 1f.",240002168,01
Mus.2485,"Hasse, Johann Adolf","Demofoonte? - Excerpts; S, strings, cemb",score: 8f.,"",240002171,01
"","","",5 parts,"2, 2, 2, 1, 2f.","",02
Mus.2488,"Hasse, Johann Adolf","Demetrio - Excerpts; S, vl, cemb",3 parts,"1, 1, 2f.",240002172,01
Mus.2477,"Hasse, Johann Adolf",Didone abbandonata,11 parts,"25, 28, 28, 18, 18, 4, 1, 1, 26, 4, 4f.",240002173,01
Mus.2484,"Hasse, Johann Adolf","Didone abbandonata - Excerpts; S, strings, b",11 parts,"2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1f.",240002174,01
Mus.2407,"Amadei, Filippo","Muzio Scevola - Excerpts; V, strings, bc; HWV deest",4 parts,"",240002256,01
Mus.2502,Collection,2 Pieces,7 parts,"1, 1, 1, 1, 2, 1, 1f.",240002273,01
Mus.2499,"Hasse, Johann Adolf","Ipermestra - Excerpts; Arr; S (2), pf",short score (piano score): 4f.,"",240002276,01
Mus.2496,"Hasse, Johann Adolf","Ipermestra - Excerpts; S (2), strings, bc",6 parts,"4, 4, 2, 2, 2, 2f.",240002277,01
Mus.2492,"Hasse, Johann Adolf","Issipile - Excerpts; S, strings",5 parts,"1, 2, 2, 1, 2f.",240002278,01
Mus.2476,"Hasse, Johann Adolf","Leucippo - V (4), orch, cemb",score: 194f.,"",240002279,01
"","","",12 parts,"22, 24, 24, 24, 24, 24, 4, 4, 8, 8, 4, 4f.","",02
Mus.2515,"Hasse, Johann Adolf","Solimano - Excerpts; winds, timp",6 parts,"1, 1, 1, 1, 1, 1f.",240002281,01
Mus.2515,"Hasse, Johann Adolf","Solimano - Excerpts; Coro, orch",17 parts,"4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 3, 3, 3f., 2f.",240002282,01
Mus.2515,"Hasse, Johann Adolf","Solimano - Excerpts; Coro, orch",17 parts,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1f.",240002283,01
Mus.2470,"Hasse, Johann Adolf","Miserere - V (4), strings, bc; MülH 165/6",score: 20f.,"",240002284,01
"","","",15 parts,"6, 6, 6, 6, 6, 6, 8, 6, 6, 4, 4, 4, 4, 4, 4f.","",02
Mus.2473,"Hasse, Johann Adolf",Numa Pompilio - Excerpts,10 parts,"12, 19, 17, 14, 14, 2, 2, 2, 4, 4f.",240002285,01
Mus.2486,"Hasse, Johann Adolf","L'Olimpiade - Excerpts; S, strings, bc",5 parts,"2, 2, 2, 2, 2f.",240002286,01
Mus.2495,"Hasse, Johann Adolf","L'Olimpiade - Excerpts; S (2), strings",score: 7f.,"",240002287,01
Mus.2501,"Fedeli, Ruggiero","Voi che sparse - Excerpts; V (X), strings",4 parts,"2, 2, 2, 4f.",240002288,01
Mus.2469a,"Hasse, Johann Adolf","I Pellegrini al sepolcro di Nostro Signore - V (3), orch, bc; KamH 7",score: 81f.,"",240002289,01
"","","",16 parts,"7, 6, 6, 6, 4, 7, 7, 7, 12, 12, 3, 3, 3, 2, 2, 2f.","",02
Mus.2498,"Hasse, Johann Adolf","Il re pastore - Excerpts; S (2), strings, b",score: 8f.,"",240002290,01
Mus.2503/1,"Hasse, Johann Adolf",Senocrita - Excerpts; orch,8 parts,"2, 2, 2, 2, 2, 2, 1, 1f.",240002291,01
Mus.2503/2,"Hasse, Johann Adolf",Senocrita - Excerpts; orch,8 parts,"1, 1, 1, 2, 1, 1, 1, 1f.",240002292,01
Mus.2505,"Hasse, Johann Adolf","Overtures - strings, brasses",8 parts,"2, 1, 2, 2, 1, 1, 1, 1f.",240002293,01
Mus.2504,"Hasse, Johann Adolf","Operas - Excerpts; strings, cor (2)",6 parts,"2, 2, 1, 2, 1, 1f.",240002294,01
Mus.2508,"Hasse, Johann Adolf","Operas - Excerpts; vl (2), vla, b",4 parts,"2, 2, 2, 2f.",240002295,01
Mus.2493/1a,"Hasse, Johann Adolf","Solimano - Excerpts; S, strings, bc",3 parts,"4, 2, 2f.",240002296,01
Mus.2493/1b,"Hasse, Johann Adolf","Solimano - Excerpts; S, orch",8 parts,"4, 2, 2, 2, 1, 1, 1, 1f.",240002297,01
Mus.2516,"Hasse, Johann Adolf","Sonatas - vl (2), vlc, cemb; HofHa deest",3 parts,"2, 2, 2f.",240002298,01
Mus.2519,"Hasse, Johann Adolf","Sonatas - fl (2), b; QV 2: Anh.7",3 parts,"1, 1, 2f.",240002299,01
Mus.2517,"Hasse, Johann Adolf","Sonatas - fl (2), b",3 parts,"2, 2, 2f.",240002300,01
Mus.2475,"Hasse, Johann Adolf",La spartana generosa - Excerpts,10 parts,"27, 26, 26, 26, 26, 4, 4, 4, 4, 2f.",240002301,01
Mus.2521/2,"Hassler, Hans Leo",Masses - Excerpts; Coro (2),8 parts,"6, 6, 6, 6, 6, 6, 6, 6f.",240002302,01
Mus.2521/3,"Hassler, Hans Leo",Vater unser im Himmelreich - Coro,score: 22f.,"",240002303,01
"","","",8 parts,"8, 8, 8, 8, 8, 2, 8, 8","",02
"","","",10 parts,"9, 6, 6, 6, 5, 6, 6, 5, 4, 4f.","",03
Mus.2523,"Hataš, Dismas","Sonatas - vl, b",score: 6f.,"",240002304,01
Mus.2522,"Hataš, Dismas","Sonatas - vl, b",score: 4f.,"",240002305,01
Mus.2586,"Haydn, Joseph",Symphonies - Hob I:D13,7 parts,"2, 2, 2, 2, 2, 1, 1f.",240002306,01
Mus.2592,"Haydn, Joseph","Divertimentos - strings, fl, cor (2); Hob II:D15",6 parts,"2, 2, 2, 2, 2, 2f.",240002307,01
"","","",2 parts,"1, 1f.","",02
Mus.2607,"Haydn, Joseph","Quartets - vl (2), vla, b; Hob III:3",4 parts,"2, 2, 2, 2f.",240002308,01
Mus.2593,"Haydn, Joseph",Divertimentos - orch; Hob II:E|b11,9 parts,"3, 3, 2, 2, 2, 2, 3, 1, 1f.",240002309,01
"","","",2 parts,"1, 1f.","",02
Mus.2594,"Haydn, Joseph",Divertimentos - orch; Hob II:F9,9 parts,"4, 4, 4, 4, 4, 4, 4, 3, 3f.",240002310,01
Mus.2587,"Haydn, Joseph",Divertimentos - orch; Hob II:D13,6 parts,"2, 2, 2, 2, 2, 1",240002311,01
"","","",part,2f.,"",02
"","","",part,2f.,"",03
Mus.2588,"Haydn, Joseph",Divertimentos - orch; Hob II:D14,6 parts,"2, 2, 2, 2, 2, 1f.",240002312,01
"","","",part,2f.,"",02
"","","",part,2f.,"",03
Mus.2591,"Haydn, Joseph","Concertos - cemb, strings; Hob XVIII:3",1 part,20,240002313,01
"","","",4 parts,"8, 8, 8, 8f.","",02
Mus.2605,"Haydn, Joseph","Divertimentos - strings, fl, ob; Hob II:1",6 parts,"2, 2, 2, 2, 2, 2f.",240002314,01
"","","",part,2f.,"",02
Mus.2596a,"Haydn, Joseph","Divertimentos - vl (2), vla (2), b; Hob II:2",5 parts,"2, 2, 2, 2, 2f.",240002315,01
Mus.2596,"Haydn, Joseph","Divertimentos - vl (2), vla (2), b; Hob II:2",5 parts,"2, 2, 2, 2, 2f.",240002316,01
Mus.2612,"Haydn, Joseph","Divertimentos - vl (2), vla, b; Hob II:6",4 parts,"2, 2, 2, 2",240002317,01
"","","",score: 2f.,"","",02
Mus.2597,"Haydn, Joseph","Divertimentos - strings, cor (2); Hob II:21",6 parts,"2, 2, 2, 2f., 1, 1f.",240002318,01
Mus.2599,"Haydn, Joseph","Divertimentos - strings, cor (2); Hob II:22",6 parts,"2, 2, 2, 2, 1, 1f.",240002319,01
Mus.2604,"Haydn, Joseph",Divertimentos - orch; Hob II:G1,9 parts,"2, 2, 2, 2, 2, 1, 2, 1, 1f.",240002320,01
Mus.2606,"Haydn, Joseph","Divertimentos - strings, brasses; Hob X:10",1 part,2f.,240002321,01
"","","",4 parts,"2, 2, 1, 1f.","",02
Mus.2590,"Haydn, Joseph","Divertimentos - cemb, strings, b; Hob XIV:12",4 parts,"8, 3, 3, 2f.",240002322,01
Mus.2624,"Haydn, Joseph","Nisa et Tirsi - Excerpts; S (2), pf; Hob XXVa:2",score: 16f.,"",240002323,01
Mus.5268,"Stegmann, Carl David",König Lear - Excerpts; Hob Ia:9,9 parts,"2, 2, 2, 2, 1, 1, 1, 1, 1f.",240002324,01
"","","",2 parts,"2, 2f.","",02
Mus.2531,"Haydn, Joseph",Die Sieben Letzten Worte unseres Erlösers am Kr... - orch; op.47; Hob XX:1A,score: 112p.,"",240002325,01
"","","",14 parts,"7, 6, 6, 5, 5, 2, 3, 3, 4, 3, 3, 1, 1, 1f.","",02
