ID,588,Holdings
"<a href=""https://muscat.rism.info/admin/sources/1001140851"">1001140851</a>",Pl-Wnifc 1843n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140852"">1001140852</a>",Pl-Wnifc 1844n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140853"">1001140853</a>",Pl-Wnifc 1845n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140854"">1001140854</a>",Pl-Wnifc 1846n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140855"">1001140855</a>",Pl-Wnifc 1847n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140873"">1001140873</a>",Pl-Wtm III.40.028,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001140910"">1001140910</a>",Pl-Wnifc 1848n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140911"">1001140911</a>",Pl-Wnifc 1849n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140912"">1001140912</a>",Pl-Wnifc 1850n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140913"">1001140913</a>",Pl-Wnifc 1851n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140914"">1001140914</a>",Pl-Wnifc 1853n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140915"">1001140915</a>",Pl-Wnifc 1854n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140916"">1001140916</a>",Pl-Wnifc 1855n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140917"">1001140917</a>",Pl-Wnifc 1857n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140918"">1001140918</a>",Pl-Wnifc 1856n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140919"">1001140919</a>",Pl-Wnifc 1859n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140923"">1001140923</a>",Pl-Wnifc 1860n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140925"">1001140925</a>",Pl-Wnifc 1861n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140927"">1001140927</a>",Pl-Wnifc 1862n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140928"">1001140928</a>",Pl-Wnifc 1863n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140929"">1001140929</a>",Pl-Wnifc 1864n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140931"">1001140931</a>",Pl-Wnifc 1865n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140935"">1001140935</a>",Pl-Wnifc 1868n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140939"">1001140939</a>",Pl-Wtm III.41.601,PL-Wtm; PL-Kc; PL-ŁŹu
"<a href=""https://muscat.rism.info/admin/sources/1001140941"">1001140941</a>",Pl-Wnifc 1869n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140943"">1001140943</a>",Pl-Wnifc 1870n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140944"">1001140944</a>",Pl-Wnifc 1871n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140950"">1001140950</a>",Pl-Wnifc 1872n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140952"">1001140952</a>",Pl-Wnifc 1874n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140955"">1001140955</a>",Pl-Wnifc 1876n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140956"">1001140956</a>",Pl-Wnifc 1878n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140958"">1001140958</a>",Pl-Wnifc 1881n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140962"">1001140962</a>",Pl-Wnifc 1882n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140965"">1001140965</a>",Pl-Wnifc 1883n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140966"">1001140966</a>",Pl-Wnifc 1884n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140968"">1001140968</a>",Pl-Wnifc 1885n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140970"">1001140970</a>",Pl-Wnifc 1886n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140972"">1001140972</a>",Pl-Wnifc 1887n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140974"">1001140974</a>",Pl-Wnifc 1889n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140975"">1001140975</a>",Pl-Wnifc 1891n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140977"">1001140977</a>",Pl-Wnifc 1893n,PL-Wnifc; PL-ŁŹu
"<a href=""https://muscat.rism.info/admin/sources/1001140978"">1001140978</a>",Pl-Wnifc 1894n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140979"">1001140979</a>",Pl-Wnifc 1895n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140980"">1001140980</a>",Pl-Wnifc 1896n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140981"">1001140981</a>",Pl-Wnifc 1897n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140982"">1001140982</a>",Pl-Wnifc 1898n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140983"">1001140983</a>",Pl-Wnifc 1899n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001140984"">1001140984</a>",Pl-Wnifc 3676n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001141355"">1001141355</a>",Pl-Wnifc 1395n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001141398"">1001141398</a>",US-BETm-PSB 1330 Beth pr,US-BETm
"<a href=""https://muscat.rism.info/admin/sources/1001141551"">1001141551</a>",PL-WTM III.41.807,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001141720"">1001141720</a>",Pl-Wtm III.40.729,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001141721"">1001141721</a>",Pl-Wtm III.40.730,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001141934"">1001141934</a>",PL_Wtm III.41.783-9,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142101"">1001142101</a>",US-BETm-PSB 1351.1 Beth pr,US-BETm
"<a href=""https://muscat.rism.info/admin/sources/1001142109"">1001142109</a>",PL-1407n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001142116"">1001142116</a>",Pl-Wnifc1418n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001142120"">1001142120</a>",Pl-Wnifc 1453n,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001142161"">1001142161</a>",Pl-Wtm III.40.732,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142162"">1001142162</a>",Pl-Wtm III.40.733,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142163"">1001142163</a>",Pl-Wtm III.40.734,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142165"">1001142165</a>",Pl-Wtm III.40.731,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142166"">1001142166</a>",Pl-Wtm III.40.735,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142169"">1001142169</a>",Pl-Wtm III.40.7363,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142170"">1001142170</a>",Pl-Wtm III.40.737,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142181"">1001142181</a>",Pl-Wtm III.40.738,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142182"">1001142182</a>",Pl-Wtm III.40.739,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142183"">1001142183</a>",Pl-Wtm III.40.740,PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142184"">1001142184</a>",Pl-Wtm III.40.741,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142185"">1001142185</a>",Pl-Wtm III.40.742,PL-Wtm; PL-Tu
"<a href=""https://muscat.rism.info/admin/sources/1001142186"">1001142186</a>",Pl-Wtm III.40.743,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142187"">1001142187</a>",Pl-Wtm III.40.744,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142202"">1001142202</a>",Pl-Wtm III.40.745,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142411"">1001142411</a>",Pl-Wtm III.40.746,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142415"">1001142415</a>",Pl-Wtm III.40.747,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142442"">1001142442</a>",Pl-Wtm III.40.748,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142452"">1001142452</a>",Pl-Wtm III.40.750-4,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142489"">1001142489</a>",Pl-Wtm III.40.751,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142549"">1001142549</a>",Pl-Wtm III.40.754,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142569"">1001142569</a>",Pl-Wtm III.40.755,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142755"">1001142755</a>",Pl-Wtm III.40.749,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142763"">1001142763</a>",Pl-Wtm III.40.7521,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142769"">1001142769</a>",Pl-Wtm III.40.7522,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142774"">1001142774</a>",Pl-Wtm III.40.7523,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142806"">1001142806</a>",Pl-Wtm III.40.753,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142807"">1001142807</a>",Pl-Wtm III.40.756,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142808"">1001142808</a>",Pl-Wtm III.40.757,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142809"">1001142809</a>",Pl-Wtm III.40.758,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142810"">1001142810</a>",Pl-Wtm III.40.759,PL-Wtm; PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142810"">1001142810</a>",Pl-Wtm III.40.760,PL-Wtm; PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142891"">1001142891</a>",Pl-Wtm III.40.7611,PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142898"">1001142898</a>",Pl-Wtm III.40.7628,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142902"">1001142902</a>",Pl-Wtm III.40.763,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142909"">1001142909</a>",Pl-Wtm III.40.764,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142913"">1001142913</a>",Pl-Wtm III.40.765,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142917"">1001142917</a>",Pl-Wtm III.40.766,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142918"">1001142918</a>",Pl-Wtm III.40.767,PL-Wtm; PL-ŁŹu
"<a href=""https://muscat.rism.info/admin/sources/1001142922"">1001142922</a>",Pl-Wtm III.40.768I4,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001142937"">1001142937</a>",SLA-Mus-GvF A-7-0417a,CH-BEl
"<a href=""https://muscat.rism.info/admin/sources/1001143904"">1001143904</a>",PL- Wtm III.41.684,PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144191"">1001144191</a>",Pl-Wtm III.40.769,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144477"">1001144477</a>",Pl-Wtm III.40.770,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144494"">1001144494</a>",Pl-Wtm III.40.771,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144495"">1001144495</a>",Pl-Wtm III.40.772,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144496"">1001144496</a>",Pl-Wtm III.40.773,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144612"">1001144612</a>",Pl-Wtm III.40.774,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144616"">1001144616</a>",Pl-Wtm III.40.775,PL-Wtm; PL-ŁŹu; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144622"">1001144622</a>",Pl-Wtm III.40.777,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001144629"">1001144629</a>",Pl-Wtm III.40.778,PL-Wtm; PL-ŁŹu
"<a href=""https://muscat.rism.info/admin/sources/1001144816"">1001144816</a>",Pl-Wtm III.40.779,PL-Wtm; PL-ŁŹu
"<a href=""https://muscat.rism.info/admin/sources/1001144978"">1001144978</a>",Pl-Wtm III.40.780,PL-Wtm; PL-PŁp
"<a href=""https://muscat.rism.info/admin/sources/1001144988"">1001144988</a>",Pl-Wtm III.40.781,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145018"">1001145018</a>",Pl-Wtm III.40.7821,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145048"">1001145048</a>",Pl-Wtm III.40.783,PL-Wtm; PL-ŁŹu
"<a href=""https://muscat.rism.info/admin/sources/1001145068"">1001145068</a>",Pl-Wtm III.40.784,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145070"">1001145070</a>",Pl-Wtm III.40.785,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145071"">1001145071</a>",Pl-Wtm III.40.786,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145074"">1001145074</a>",Pl-Wtm III.40.787,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145075"">1001145075</a>",Pl-Wtm III.40.788,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145216"">1001145216</a>",Pl-Wtm III.40.790,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145217"">1001145217</a>",Pl-Wtm III.40.791,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145389"">1001145389</a>",Pl-Wtm III.40.792,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145395"">1001145395</a>",Pl-Wtm III.40.793,PL-Wtm; PL-Wmt
"<a href=""https://muscat.rism.info/admin/sources/1001145396"">1001145396</a>",Pl-Wtm III.40.794,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145398"">1001145398</a>",Pl-Wtm III.40.795,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145399"">1001145399</a>",Pl-Wtm III.40.324,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145400"">1001145400</a>",Pl-Wtm III.40.325,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145411"">1001145411</a>",Pl-Wtm III.40.3261,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145415"">1001145415</a>",Pl-Wtm III.40.3263,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145416"">1001145416</a>",Pl-Wtm III.40.3265,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145417"">1001145417</a>",Pl-Wtm III.40.3267,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145418"">1001145418</a>",Pl-Wtm III.40.3268,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145436"">1001145436</a>",Pl-Wtm III.40.397,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145441"">1001145441</a>",Pl-Wtm III.40.399,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145448"">1001145448</a>",Pl-Wtm III.40.400,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145449"">1001145449</a>",Pl-Wtm III.40.0962,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145450"">1001145450</a>",Pl-Wtm III.40.796,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145457"">1001145457</a>",Pl-Wtm III.40.797,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145468"">1001145468</a>",Pl-Wtm III.40.798,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145472"">1001145472</a>",Pl-Wtm III.40.799,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145473"">1001145473</a>",Pl-Wtm III.40.800,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145474"">1001145474</a>",Pl-Wtm III.40.801,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145475"">1001145475</a>",Pl-Wtm III.40.802,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145476"">1001145476</a>",Pl-Wtm III.40.803,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145477"">1001145477</a>",Pl-Wtm III.40.8043,PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145477"">1001145477</a>",Pl-Wtm III.40.8053,PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145649"">1001145649</a>",US-BETH PSB 1366.3 Beth prms,US-BETm
"<a href=""https://muscat.rism.info/admin/sources/1001145657"">1001145657</a>",Pl-Wtm III.40.0481,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001145659"">1001145659</a>",Pl-Wtm III.40.0913,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001147027"">1001147027</a>",CZ-NLob X A a 17.,CZ-Nlob
"<a href=""https://muscat.rism.info/admin/sources/1001148107"">1001148107</a>",Pl-Wtm III.40.820,PL-Wtm; PL-Tu
"<a href=""https://muscat.rism.info/admin/sources/1001148244"">1001148244</a>",Pl-Wtm III.40.821,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148336"">1001148336</a>",Pl-Wtm III.40.822,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148339"">1001148339</a>",Pl-Wtm III.40.8232,PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148341"">1001148341</a>",Pl-Wtm III.40.824,PL-Wtm; PL-Tu
"<a href=""https://muscat.rism.info/admin/sources/1001148342"">1001148342</a>",Pl-Wtm III.40.825,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148479"">1001148479</a>",Pl-Wtm III.40.819,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148539"">1001148539</a>",Pl-Wtm III.40.8182,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148655"">1001148655</a>",Pl-Wtm III.40.817,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148711"">1001148711</a>",Pl-Wtm III.40.401,PL-Wtm; PL-ŁŹu
"<a href=""https://muscat.rism.info/admin/sources/1001148760"">1001148760</a>",Pl-Wtm III.40.811,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148828"">1001148828</a>",Pl-Wtm III.40.812,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148877"">1001148877</a>",Pl-Wtm III.40.813,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001148925"">1001148925</a>",Pl-Wtm III.40.814,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149043"">1001149043</a>",Pl-Wtm III.40.810,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149049"">1001149049</a>",Pl-Wtm III.40.8094,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149052"">1001149052</a>",Pl-Wtm III.40.8093,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149055"">1001149055</a>",Pl-Wtm III.40.807,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149057"">1001149057</a>",Pl-Wtm III.40.808,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149058"">1001149058</a>",Pl-Wtm III.40.8061,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149059"">1001149059</a>",Pl-Wtm III.40.8062,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149060"">1001149060</a>",Pl-Wtm III.40.410,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149063"">1001149063</a>",Pl-Wtm III.40.409,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149066"">1001149066</a>",Pl-Wtm III.40.408,PL-Wtm; PL-Tu
"<a href=""https://muscat.rism.info/admin/sources/1001149067"">1001149067</a>",Pl-Wtm III.40.407,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149068"">1001149068</a>",Pl-Wtm III.40.406,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001149069"">1001149069</a>",Pl-Wtm III.40.405,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001151342"">1001151342</a>",Pl-Wtm III.41.745,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001151356"">1001151356</a>",PL-Wym III.40.427,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152326"">1001152326</a>",Pl-Wtm III.40.049-1,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152352"">1001152352</a>",Pl-Wtm III.41.961,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152392"">1001152392</a>",Pl-Wtm A.28.783-74,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152709"">1001152709</a>",PL- Wtm A.34.406-84,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152769"">1001152769</a>",Pl-Wtm III.40.826,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152784"">1001152784</a>",Pl-Wtm III.40.827,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152795"">1001152795</a>",Pl-Wtm III.40.828,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152821"">1001152821</a>",Pl-Wtm III.40.829,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152825"">1001152825</a>",Pl-Wtm III.40.830,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152830"">1001152830</a>",Pl-Wtm III.40.833,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152834"">1001152834</a>",Pl-Wtm III.40.834,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152836"">1001152836</a>",Pl-Wtm III.40.835,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152846"">1001152846</a>",Pl-Wtm III.40.858,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152852"">1001152852</a>",Pl-Wtm III.40.8361,PL-Wtm; PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152852"">1001152852</a>",Pl-Wtm III.40.8363,PL-Wtm; PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001152852"">1001152852</a>",Pl-Wtm III.40.8365,PL-Wtm; PL-Wtm; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153043"">1001153043</a>",Pl-Wtm III.40.837,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153054"">1001153054</a>",Pl-Wtm III.40.838,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153056"">1001153056</a>",Pl-Wtm III.40.841,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153060"">1001153060</a>",Pl-Wtm III.40.842,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153066"">1001153066</a>",Pl-Wtm III.40.8561,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153067"">1001153067</a>",Pl-Wtm III.40.8562,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153072"">1001153072</a>",Pl-Wtm III.40.855,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153078"">1001153078</a>",Pl-Wtm A.30.11977,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153089"">1001153089</a>",Pl-Wtm III.40.854,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153090"">1001153090</a>",Pl-Wtm III.40.853,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153100"">1001153100</a>",Pl-Wtm III.40.852,PL-Wtm; PL-Tu
"<a href=""https://muscat.rism.info/admin/sources/1001153102"">1001153102</a>",Pl-Wtm III.40.851,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153109"">1001153109</a>",Pl-Wtm III.40.847,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153153"">1001153153</a>",Pl-Wtm III.40.8481,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153159"">1001153159</a>",Pl-Wtm III.40.850,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001153215"">1001153215</a>",Pl-Wtm III.40.843,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001155153"">1001155153</a>",RA-CCsj IN028,RA-Ccsj
"<a href=""https://muscat.rism.info/admin/sources/1001155486"">1001155486</a>",PL-Wtm A.30.109-77,PL-Wnifc
"<a href=""https://muscat.rism.info/admin/sources/1001156730"">1001156730</a>",BM-119,B-Gc
"<a href=""https://muscat.rism.info/admin/sources/1001156943"">1001156943</a>",SK-BRM MUS XIX 663,SK-BRnm
"<a href=""https://muscat.rism.info/admin/sources/1001158139"">1001158139</a>",PL-WTM A-36.28786,PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/1001158560"">1001158560</a>",pl-Wumfc N42929,PL-Wumfc; PL-ŁŹu
"<a href=""https://muscat.rism.info/admin/sources/1001158627"">1001158627</a>",Cz-Pk A-I-T 470,CZ-Pk
"<a href=""https://muscat.rism.info/admin/sources/1001159549"">1001159549</a>",Pl-Kk.III.57,PL-Kk; PL-Kk; PL-Kk; PL-Kk; PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159561"">1001159561</a>",Pl-Kk.III.62,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159573"">1001159573</a>",Pl-Kk.III.76,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159575"">1001159575</a>",Pl-Kk.III.82,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159593"">1001159593</a>",Pl-Kk.III.83,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159634"">1001159634</a>",Pl-Kk.III.456,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159670"">1001159670</a>",Pl-Kk.III.252,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159671"">1001159671</a>",Pl-Kk.III.253,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159672"">1001159672</a>",Pl-Kk.III.254,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159673"">1001159673</a>",Pl-Kk.III.452,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159734"">1001159734</a>",Pl-Kk.III.255,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159735"">1001159735</a>",Pl-Kk.III.256,PL-Kk
"<a href=""https://muscat.rism.info/admin/sources/1001159749"">1001159749</a>",Pl-Kk.III.349,PL-Kk
